id,created,updated,brand,category,website,company_size,linkedin_company_page,contact_form_url,affiliate_program_url,press_media_url,partnerships_email,youtube,instagram,tiktok,facebook,x,linkedin,contact_name,contact_role,contact_email,contact_phone,channel,status,priority,pitch_tier,lead_quality,pitch_angle,next_step,next_followup_date,notes
21,2026-02-10,2026-02-10,Battle Born Batteries,RV lithium batteries,https://battlebornbatteries.com,,,,,,,,https://www.instagram.com/battlebornbatteries/,,https://www.facebook.com/battlebornbatteries/,,https://www.linkedin.com/company/battle-born-batteries/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
22,2026-02-10,2026-02-10,Victron Energy,Power systems / inverters / monitoring,https://www.victronenergy.com,,,,,,,,https://www.instagram.com/victronenergy/,,https://www.facebook.com/VictronEnergy/,,https://www.linkedin.com/company/victron-energy/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
23,2026-02-10,2026-02-10,BLUETTI,Portable power / solar generators,https://www.bluettipower.com,,,,,,,,https://www.instagram.com/bluetti_official/,,https://www.facebook.com/bluetti.official/,,https://www.linkedin.com/company/bluetti/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
24,2026-02-10,2026-02-10,Redarc,Vehicle power management,https://www.redarcelectronics.com,,,,,,,,https://www.instagram.com/redarc_electronics/,,https://www.facebook.com/REDARC/,,https://www.linkedin.com/company/redarc-electronics-pty-ltd/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
25,2026-02-10,2026-02-10,NOCO,Battery chargers / jump starters,https://no.co,,,,,,,,https://www.instagram.com/nocogenius/,,https://www.facebook.com/nocogenius/,,https://www.linkedin.com/company/the-noco-company/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
26,2026-02-10,2026-02-10,weBoost,Vehicle cell signal boosters,https://www.weboost.com,,,,,,,,https://www.instagram.com/weboost/,,https://www.facebook.com/weboost/,,https://www.linkedin.com/company/weboost/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
27,2026-02-10,2026-02-10,Pepwave / Peplink,Mobile connectivity / SD-WAN,https://www.peplink.com,,,,,,,,https://www.instagram.com/peplink/,,https://www.facebook.com/Peplink/,,https://www.linkedin.com/company/peplink/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
28,2026-02-10,2026-02-10,Winegard,RV connectivity / TV / internet,https://winegard.com,,,,,,,,https://www.instagram.com/winegardcompany/,,https://www.facebook.com/WinegardCompany/,,https://www.linkedin.com/company/winegard-company/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
29,2026-02-10,2026-02-10,T-Mobile,Wireless connectivity sponsor,https://www.t-mobile.com,,,,,,,,https://www.instagram.com/tmobile/,,https://www.facebook.com/TMobile/,,https://www.linkedin.com/company/t-mobile/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
30,2026-02-10,2026-02-10,Verizon,Wireless connectivity sponsor,https://www.verizon.com,,,,,,,,https://www.instagram.com/verizon/,,https://www.facebook.com/verizon/,,https://www.linkedin.com/company/verizon/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
31,2026-02-10,2026-02-10,AT&T,Wireless connectivity sponsor,https://www.att.com,,,,,,,,https://www.instagram.com/att/,,https://www.facebook.com/ATT/,,https://www.linkedin.com/company/at&t/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
32,2026-02-10,2026-02-10,Progressive,RV insurance / travel safety,https://www.progressive.com,,,,,,,,https://www.instagram.com/progressive/,,https://www.facebook.com/progressive/,,https://www.linkedin.com/company/progressive-insurance/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
33,2026-02-10,2026-02-10,GEICO,RV insurance / travel safety,https://www.geico.com,,,,,,,,https://www.instagram.com/geico/,,https://www.facebook.com/geico/,,https://www.linkedin.com/company/geico/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
34,2026-02-10,2026-02-10,State Farm,Insurance / travel protection,https://www.statefarm.com,,,,,,,,https://www.instagram.com/statefarm/,,https://www.facebook.com/statefarm/,,https://www.linkedin.com/company/state-farm/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
35,2026-02-10,2026-02-10,Camping World,RV retail / service network,https://www.campingworld.com,,,,,,,,https://www.instagram.com/campingworld/,,https://www.facebook.com/CampingWorld/,,https://www.linkedin.com/company/camping-world/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
36,2026-02-10,2026-02-10,Love’s Travel Stops,Fuel + logistics stops,https://www.loves.com,,,,,,,,https://www.instagram.com/lovestravelstops/,,https://www.facebook.com/lovestravelstops/,,https://www.linkedin.com/company/love-s-travel-stops/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
37,2026-02-10,2026-02-10,Pilot Flying J,Fuel + logistics stops,https://pilotflyingj.com,,,,,,,,https://www.instagram.com/pilotflyingj/,,https://www.facebook.com/PilotFlyingJ/,,https://www.linkedin.com/company/pilot-flying-j/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
38,2026-02-10,2026-02-10,Harbor Freight,Tools / mobile repair,https://www.harborfreight.com,,,,,,,,https://www.instagram.com/harborfreight/,,https://www.facebook.com/harborfreight/,,https://www.linkedin.com/company/harbor-freight-tools/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
39,2026-02-10,2026-02-10,The Home Depot,Tools / build supplies,https://www.homedepot.com,,,,,,,,https://www.instagram.com/homedepot/,,https://www.facebook.com/homedepot/,,https://www.linkedin.com/company/the-home-depot/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
40,2026-02-10,2026-02-10,Lowe’s,Tools / build supplies,https://www.lowes.com,,,,,,,,https://www.instagram.com/loweshomeimprovement/,,https://www.facebook.com/lowes/,,https://www.linkedin.com/company/lowe-s-home-improvement/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
41,2026-02-10,2026-02-10,Milwaukee Tool,Power tools sponsor,https://www.milwaukeetool.com,,,,,,,,https://www.instagram.com/milwaukeetool/,,https://www.facebook.com/milwaukeetool/,,https://www.linkedin.com/company/milwaukee-tool/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
42,2026-02-10,2026-02-10,DEWALT,Power tools sponsor,https://www.dewalt.com,,,,,,,,https://www.instagram.com/dewalt/,,https://www.facebook.com/dewalt/,,https://www.linkedin.com/company/dewalt/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
43,2026-02-10,2026-02-10,RYOBI,Power tools sponsor,https://www.ryobitools.com,,,,,,,,https://www.instagram.com/ryobitoolsusa/,,https://www.facebook.com/RYOBIToolsUSA/,,https://www.linkedin.com/company/ryobi-power-tools/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
44,2026-02-10,2026-02-10,OnX Offroad,Navigation / trails app,https://www.onxmaps.com/offroad/app,,,,,,,,https://www.instagram.com/onxoffroad/,,https://www.facebook.com/onXOffroad/,,https://www.linkedin.com/company/onxmaps/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
45,2026-02-10,2026-02-10,Roadtrippers,Trip planning / route app,https://roadtrippers.com,,,,,,,,https://www.instagram.com/roadtrippers/,,https://www.facebook.com/roadtrippers/,,https://www.linkedin.com/company/roadtrippers/,,,,,,prospect,High,B,A,QRLife co-branded verified QR card rollout + Viking Voyage 2026 story + measurable scans/claims,"Send intro DM/email, offer to pre-build branded QR card and transfer ownership with invite code",2026-02-12,Social links should be spot-checked before outreach send.
